year,team,goals,opponent,type,home_team
2017,LAN,3,HOU,home_team,LAN
2017,LAN,1,HOU,home_team,LAN
1933,NLS,2,ALS,away_team,ALS
1934,ALS,9,NLS,away_team,NLS
1935,NLS,1,ALS,away_team,ALS
1936,ALS,3,NLS,away_team,NLS
1937,NLS,3,ALS,away_team,ALS
1938,ALS,1,NLS,away_team,NLS
1939,NLS,1,ALS,away_team,ALS
1940,ALS,0,NLS,away_team,NLS
1941,NLS,5,ALS,away_team,ALS
1942,ALS,3,NLS,away_team,NLS
1943,NLS,3,ALS,away_team,ALS
1944,ALS,1,NLS,away_team,NLS
1946,NLS,0,ALS,away_team,ALS
1947,ALS,2,NLS,away_team,NLS
1948,NLS,2,ALS,away_team,ALS
1949,ALS,11,NLS,away_team,NLS
1950,NLS,4,ALS,away_team,ALS
1951,NLS,8,ALS,away_team,ALS
1952,ALS,2,NLS,away_team,NLS
1953,ALS,1,NLS,away_team,NLS
1954,NLS,9,ALS,away_team,ALS
1955,ALS,5,NLS,away_team,NLS
1956,NLS,7,ALS,away_team,ALS
1957,ALS,6,NLS,away_team,NLS
1958,NLS,3,ALS,away_team,ALS
1959,ALS,4,NLS,away_team,NLS
1959,ALS,5,NLS,away_team,NLS
1960,NLS,5,ALS,away_team,ALS
1960,NLS,6,ALS,away_team,ALS
1961,ALS,4,NLS,away_team,NLS
1961,NLS,1,ALS,away_team,ALS
1962,NLS,3,ALS,away_team,ALS
1962,ALS,9,NLS,away_team,NLS
1963,NLS,5,ALS,away_team,ALS
1964,ALS,4,NLS,away_team,NLS
1965,NLS,6,ALS,away_team,ALS
1966,ALS,1,NLS,away_team,NLS
1967,NLS,2,ALS,away_team,ALS
1968,ALS,0,NLS,away_team,NLS
1969,NLS,9,ALS,away_team,ALS
1970,ALS,4,NLS,away_team,NLS
1971,NLS,4,ALS,away_team,ALS
1972,ALS,3,NLS,away_team,NLS
1973,NLS,7,ALS,away_team,ALS
1974,ALS,2,NLS,away_team,NLS
1975,NLS,6,ALS,away_team,ALS
1976,ALS,1,NLS,away_team,NLS
1977,NLS,7,ALS,away_team,ALS
1978,ALS,3,NLS,away_team,NLS
1979,NLS,7,ALS,away_team,ALS
1980,ALS,2,NLS,away_team,NLS
1981,NLS,5,ALS,away_team,ALS
1982,ALS,1,NLS,away_team,NLS
1983,NLS,3,ALS,away_team,ALS
1984,ALS,1,NLS,away_team,NLS
1985,NLS,6,ALS,away_team,ALS
1986,ALS,3,NLS,away_team,NLS
1987,NLS,2,ALS,away_team,ALS
1988,ALS,2,NLS,away_team,NLS
1989,NLS,3,ALS,away_team,ALS
1990,ALS,2,NLS,away_team,NLS
1991,NLS,2,ALS,away_team,ALS
1992,ALS,13,NLS,away_team,NLS
1993,NLS,3,ALS,away_team,ALS
1994,ALS,7,NLS,away_team,NLS
1995,NLS,3,ALS,away_team,ALS
1996,ALS,0,NLS,away_team,NLS
1997,NLS,1,ALS,away_team,ALS
1998,ALS,13,NLS,away_team,NLS
1999,NLS,1,ALS,away_team,ALS
2000,ALS,6,NLS,away_team,NLS
2001,NLS,1,ALS,away_team,ALS
2002,ALS,7,NLS,away_team,NLS
2003,NLS,6,ALS,away_team,ALS
2004,ALS,9,NLS,away_team,NLS
2005,NLS,5,ALS,away_team,ALS
2006,ALS,3,NLS,away_team,NLS
2007,ALS,5,NLS,away_team,NLS
2008,NLS,3,ALS,away_team,ALS
2009,ALS,4,NLS,away_team,NLS
2010,NLS,3,ALS,away_team,ALS
2011,ALS,1,NLS,away_team,NLS
2012,NLS,8,ALS,away_team,ALS
2013,ALS,3,NLS,away_team,NLS
2014,NLS,3,ALS,away_team,ALS
2015,ALS,6,NLS,away_team,NLS
2016,NLS,2,ALS,away_team,ALS
2017,ALS,2,NLS,away_team,NLS
1981,LAN,1,HOU,away_team,HOU
1981,OAK,4,KCA,away_team,KCA
1981,PHI,1,MON,away_team,MON
1981,LAN,0,HOU,away_team,HOU
1981,NYA,5,MIL,away_team,MIL
1981,OAK,2,KCA,away_team,KCA
1981,PHI,1,MON,away_team,MON
1981,NYA,3,MIL,away_team,MIL
1981,MON,2,PHI,away_team,PHI
1981,HOU,1,LAN,away_team,LAN
1981,MIL,5,NYA,away_team,NYA
1981,KCA,1,OAK,away_team,OAK
1981,MON,5,PHI,away_team,PHI
1981,HOU,1,LAN,away_team,LAN
1981,MIL,2,NYA,away_team,NYA
1981,MON,3,PHI,away_team,PHI
1981,HOU,0,LAN,away_team,LAN
1981,MIL,3,NYA,away_team,NYA
1995,ATL,5,COL,away_team,COL
1995,CIN,7,LAN,away_team,LAN
1995,BOS,4,CLE,away_team,CLE
1995,SEA,6,NYA,away_team,NYA
1995,ATL,7,COL,away_team,COL
1995,CIN,5,LAN,away_team,LAN
1995,BOS,0,CLE,away_team,CLE
1995,SEA,5,NYA,away_team,NYA
1995,COL,7,ATL,away_team,ATL
1995,LAN,1,CIN,away_team,CIN
1995,CLE,8,BOS,away_team,BOS
1995,NYA,4,SEA,away_team,SEA
1995,COL,4,ATL,away_team,ATL
1995,NYA,8,SEA,away_team,SEA
1995,NYA,5,SEA,away_team,SEA
1996,SDN,1,SLN,away_team,SLN
1996,TEX,6,NYA,away_team,NYA
1996,CLE,4,BAL,away_team,BAL
1996,ATL,2,LAN,away_team,LAN
1996,TEX,4,NYA,away_team,NYA
1996,CLE,4,BAL,away_team,BAL
1996,SDN,4,SLN,away_team,SLN
1996,ATL,3,LAN,away_team,LAN
1996,NYA,3,TEX,away_team,TEX
1996,BAL,4,CLE,away_team,CLE
1996,SLN,7,SDN,away_team,SDN
1996,LAN,2,ATL,away_team,ATL
1996,NYA,6,TEX,away_team,TEX
1996,BAL,4,CLE,away_team,CLE
1997,SFN,1,FLO,away_team,FLO
1997,HOU,1,ATL,away_team,ATL
1997,CLE,6,NYA,away_team,NYA
1997,SFN,6,FLO,away_team,FLO
1997,HOU,3,ATL,away_team,ATL
1997,BAL,9,SEA,away_team,SEA
1997,CLE,7,NYA,away_team,NYA
1997,BAL,9,SEA,away_team,SEA
1997,FLO,6,SFN,away_team,SFN
1997,ATL,4,HOU,away_team,HOU
1997,NYA,6,CLE,away_team,CLE
1997,SEA,4,BAL,away_team,BAL
1997,NYA,2,CLE,away_team,CLE
1997,SEA,1,BAL,away_team,BAL
1997,NYA,3,CLE,away_team,CLE
1998,BOS,11,CLE,away_team,CLE
1998,TEX,0,NYA,away_team,NYA
1998,SDN,2,HOU,away_team,HOU
1998,BOS,5,CLE,away_team,CLE
1998,TEX,1,NYA,away_team,NYA
1998,CHN,1,ATL,away_team,ATL
1998,SDN,4,HOU,away_team,HOU
1998,CHN,1,ATL,away_team,ATL
1998,CLE,4,BOS,away_team,BOS
1998,NYA,4,TEX,away_team,TEX
1998,CLE,2,BOS,away_team,BOS
1998,HOU,1,SDN,away_team,SDN
1998,ATL,6,CHN,away_team,CHN
1998,HOU,1,SDN,away_team,SDN
1999,TEX,0,NYA,away_team,NYA
1999,NYN,8,ARI,away_team,ARI
1999,HOU,6,ATL,away_team,ATL
1999,BOS,2,CLE,away_team,CLE
1999,NYN,1,ARI,away_team,ARI
1999,HOU,1,ATL,away_team,ATL
1999,BOS,1,CLE,away_team,CLE
1999,TEX,1,NYA,away_team,NYA
1999,ARI,2,NYN,away_team,NYN
1999,ATL,5,HOU,away_team,HOU
1999,CLE,3,BOS,away_team,BOS
1999,NYA,3,TEX,away_team,TEX
1999,ARI,3,NYN,away_team,NYN
1999,ATL,7,HOU,away_team,HOU
1999,CLE,7,BOS,away_team,BOS
1999,BOS,12,CLE,away_team,CLE
2000,ATL,5,SLN,away_team,SLN
2000,NYA,3,OAK,away_team,OAK
2000,SEA,7,CHA,away_team,CHA
2000,NYN,1,SFN,away_team,SFN
2000,NYA,4,OAK,away_team,OAK
2000,SEA,5,CHA,away_team,CHA
2000,ATL,4,SLN,away_team,SLN
2000,NYN,5,SFN,away_team,SFN
2000,OAK,2,NYA,away_team,NYA
2000,CHA,1,SEA,away_team,SEA
2000,SLN,7,ATL,away_team,ATL
2000,SFN,2,NYN,away_team,NYN
2000,OAK,11,NYA,away_team,NYA
2000,SFN,0,NYN,away_team,NYN
2000,NYA,7,OAK,away_team,OAK
2001,CLE,5,SEA,away_team,SEA
2001,ATL,7,HOU,away_team,HOU
2001,SLN,0,ARI,away_team,ARI
2001,OAK,5,NYA,away_team,NYA
2001,ATL,1,HOU,away_team,HOU
2001,SLN,4,ARI,away_team,ARI
2001,CLE,1,SEA,away_team,SEA
2001,OAK,2,NYA,away_team,NYA
2001,HOU,2,ATL,away_team,ATL
2001,ARI,5,SLN,away_team,SLN
2001,SEA,2,CLE,away_team,CLE
2001,NYA,1,OAK,away_team,OAK
2001,ARI,1,SLN,away_team,SLN
2001,SEA,6,CLE,away_team,CLE
2001,NYA,9,OAK,away_team,OAK
2001,SLN,1,ARI,away_team,ARI
2001,CLE,1,SEA,away_team,SEA
2001,OAK,3,NYA,away_team,NYA
2002,MIN,7,OAK,away_team,OAK
2002,ANA,5,NYA,away_team,NYA
2002,SLN,12,ARI,away_team,ARI
2002,MIN,1,OAK,away_team,OAK
2002,ANA,8,NYA,away_team,NYA
2002,SFN,8,ATL,away_team,ATL
2002,SLN,2,ARI,away_team,ARI
2002,SFN,3,ATL,away_team,ATL
2002,OAK,6,MIN,away_team,MIN
2002,NYA,6,ANA,away_team,ANA
2002,OAK,2,MIN,away_team,MIN
2002,NYA,5,ANA,away_team,ANA
2002,ARI,3,SLN,away_team,SLN
2002,ATL,10,SFN,away_team,SFN
2002,MIN,5,OAK,away_team,OAK
2002,ATL,3,SFN,away_team,SFN
2002,SFN,3,ATL,away_team,ATL
2003,MIN,3,NYA,away_team,NYA
2003,CHN,4,ATL,away_team,ATL
2003,FLO,0,SFN,away_team,SFN
2003,BOS,4,OAK,away_team,OAK
2003,CHN,3,ATL,away_team,ATL
2003,FLO,9,SFN,away_team,SFN
2003,MIN,1,NYA,away_team,NYA
2003,BOS,1,OAK,away_team,OAK
2003,ATL,1,CHN,away_team,CHN
2003,SFN,3,FLO,away_team,FLO
2003,NYA,3,MIN,away_team,MIN
2003,OAK,1,BOS,away_team,BOS
2003,ATL,6,CHN,away_team,CHN
2003,SFN,6,FLO,away_team,FLO
2003,NYA,8,MIN,away_team,MIN
2003,OAK,4,BOS,away_team,BOS
2003,CHN,5,ATL,away_team,ATL
2003,BOS,4,OAK,away_team,OAK
2004,LAN,3,SLN,away_team,SLN
2004,BOS,9,ANA,away_team,ANA
2004,MIN,2,NYA,away_team,NYA
2004,HOU,9,ATL,away_team,ATL
2004,BOS,8,ANA,away_team,ANA
2004,MIN,6,NYA,away_team,NYA
2004,LAN,3,SLN,away_team,SLN
2004,HOU,2,ATL,away_team,ATL
2004,ANA,6,BOS,away_team,BOS
2004,NYA,8,MIN,away_team,MIN
2004,SLN,0,LAN,away_team,LAN
2004,ATL,5,HOU,away_team,HOU
2004,NYA,6,MIN,away_team,MIN
2004,SLN,6,LAN,away_team,LAN
2004,ATL,6,HOU,away_team,HOU
2004,HOU,12,ATL,away_team,ATL
2005,BOS,2,CHA,away_team,CHA
2005,NYA,4,ANA,away_team,ANA
2005,SDN,5,SLN,away_team,SLN
2005,BOS,4,CHA,away_team,CHA
2005,NYA,3,ANA,away_team,ANA
2005,HOU,10,ATL,away_team,ATL
2005,SDN,2,SLN,away_team,SLN
2005,HOU,1,ATL,away_team,ATL
2005,CHA,5,BOS,away_team,BOS
2005,ANA,11,NYA,away_team,NYA
2005,SLN,7,SDN,away_team,SDN
2005,ATL,3,HOU,away_team,HOU
2005,ANA,2,NYA,away_team,NYA
2005,ATL,6,HOU,away_team,HOU
2005,NYA,3,ANA,away_team,ANA
2006,OAK,3,MIN,away_team,MIN
2006,DET,4,NYA,away_team,NYA
2006,SLN,5,SDN,away_team,SDN
2006,OAK,5,MIN,away_team,MIN
2006,LAN,5,NYN,away_team,NYN
2006,DET,4,NYA,away_team,NYA
2006,SLN,2,SDN,away_team,SDN
2006,LAN,1,NYN,away_team,NYN
2006,MIN,3,OAK,away_team,OAK
2006,NYA,0,DET,away_team,DET
2006,NYA,3,DET,away_team,DET
2006,SDN,3,SLN,away_team,SLN
2006,NYN,9,LAN,away_team,LAN
2006,SDN,2,SLN,away_team,SLN
2007,CHN,1,ARI,away_team,ARI
2007,COL,4,PHI,away_team,PHI
2007,ANA,0,BOS,away_team,BOS
2007,CHN,4,ARI,away_team,ARI
2007,COL,10,PHI,away_team,PHI
2007,NYA,3,CLE,away_team,CLE
2007,ANA,3,BOS,away_team,BOS
2007,NYA,1,CLE,away_team,CLE
2007,ARI,5,CHN,away_team,CHN
2007,PHI,1,COL,away_team,COL
2007,BOS,9,ANA,away_team,ANA
2007,CLE,4,NYA,away_team,NYA
2007,CLE,6,NYA,away_team,NYA
2008,LAN,7,CHN,away_team,CHN
2008,MIL,1,PHI,away_team,PHI
2008,BOS,4,ANA,away_team,ANA
2008,LAN,10,CHN,away_team,CHN
2008,MIL,2,PHI,away_team,PHI
2008,CHA,4,TBA,away_team,TBA
2008,BOS,7,ANA,away_team,ANA
2008,CHA,2,TBA,away_team,TBA
2008,CHN,1,LAN,away_team,LAN
2008,PHI,1,MIL,away_team,MIL
2008,PHI,6,MIL,away_team,MIL
2008,ANA,5,BOS,away_team,BOS
2008,TBA,3,CHA,away_team,CHA
2008,ANA,2,BOS,away_team,BOS
2008,TBA,6,CHA,away_team,CHA
2009,COL,1,PHI,away_team,PHI
2009,SLN,3,LAN,away_team,LAN
2009,MIN,2,NYA,away_team,NYA
2009,COL,5,PHI,away_team,PHI
2009,SLN,2,LAN,away_team,LAN
2009,BOS,0,ANA,away_team,ANA
2009,MIN,3,NYA,away_team,NYA
2009,BOS,1,ANA,away_team,ANA
2009,LAN,5,SLN,away_team,SLN
2009,PHI,6,COL,away_team,COL
2009,NYA,4,MIN,away_team,MIN
2009,ANA,7,BOS,away_team,BOS
2009,PHI,5,COL,away_team,COL
2010,NYA,6,MIN,away_team,MIN
2010,TEX,5,TBA,away_team,TBA
2010,CIN,0,PHI,away_team,PHI
2010,NYA,5,MIN,away_team,MIN
2010,TEX,6,TBA,away_team,TBA
2010,ATL,0,SFN,away_team,SFN
2010,CIN,4,PHI,away_team,PHI
2010,ATL,5,SFN,away_team,SFN
2010,MIN,1,NYA,away_team,NYA
2010,TBA,6,TEX,away_team,TEX
2010,TBA,5,TEX,away_team,TEX
2010,PHI,2,CIN,away_team,CIN
2010,SFN,3,ATL,away_team,ATL
2010,SFN,3,ATL,away_team,ATL
2010,TEX,5,TBA,away_team,TBA
2011,TBA,9,TEX,away_team,TEX
2011,DET,3,NYA,away_team,NYA
2011,ARI,1,MIL,away_team,MIL
2011,SLN,6,PHI,away_team,PHI
2011,TBA,6,TEX,away_team,TEX
2011,ARI,4,MIL,away_team,MIL
2011,SLN,5,PHI,away_team,PHI
2011,DET,5,NYA,away_team,NYA
2011,TEX,4,TBA,away_team,TBA
2011,NYA,4,DET,away_team,DET
2011,MIL,1,ARI,away_team,ARI
2011,PHI,3,SLN,away_team,SLN
2011,TEX,4,TBA,away_team,TBA
2011,NYA,10,DET,away_team,DET
2011,MIL,6,ARI,away_team,ARI
2011,PHI,3,SLN,away_team,SLN
2011,DET,3,NYA,away_team,NYA
2011,ARI,2,MIL,away_team,MIL
2011,SLN,1,PHI,away_team,PHI
2012,OAK,1,DET,away_team,DET
2012,CIN,5,SFN,away_team,SFN
2012,OAK,4,DET,away_team,DET
2012,NYA,7,BAL,away_team,BAL
2012,CIN,9,SFN,away_team,SFN
2012,WAS,3,SLN,away_team,SLN
2012,NYA,2,BAL,away_team,BAL
2012,WAS,4,SLN,away_team,SLN
2012,DET,0,OAK,away_team,OAK
2012,SFN,2,CIN,away_team,CIN
2012,DET,3,OAK,away_team,OAK
2012,BAL,2,NYA,away_team,NYA
2012,SFN,8,CIN,away_team,CIN
2012,SLN,8,WAS,away_team,WAS
2012,DET,6,OAK,away_team,OAK
2012,BAL,2,NYA,away_team,NYA
2012,SFN,6,CIN,away_team,CIN
2012,SLN,1,WAS,away_team,WAS
2012,BAL,1,NYA,away_team,NYA
2012,SLN,9,WAS,away_team,WAS
2013,PIT,1,SLN,away_team,SLN
2013,LAN,6,ATL,away_team,ATL
2013,TBA,2,BOS,away_team,BOS
2013,DET,3,OAK,away_team,OAK
2013,PIT,7,SLN,away_team,SLN
2013,LAN,3,ATL,away_team,ATL
2013,TBA,4,BOS,away_team,BOS
2013,DET,0,OAK,away_team,OAK
2013,SLN,3,PIT,away_team,PIT
2013,ATL,6,LAN,away_team,LAN
2013,BOS,4,TBA,away_team,TBA
2013,OAK,6,DET,away_team,DET
2013,SLN,2,PIT,away_team,PIT
2013,ATL,3,LAN,away_team,LAN
2013,BOS,3,TBA,away_team,TBA
2013,OAK,6,DET,away_team,DET
2013,PIT,1,SLN,away_team,SLN
2013,DET,3,OAK,away_team,OAK
2014,DET,3,BAL,away_team,BAL
2014,KCA,3,ANA,away_team,ANA
2014,DET,6,BAL,away_team,BAL
2014,KCA,4,ANA,away_team,ANA
2014,SFN,3,WAS,away_team,WAS
2014,SLN,10,LAN,away_team,LAN
2014,SFN,2,WAS,away_team,WAS
2014,SLN,2,LAN,away_team,LAN
2014,BAL,2,DET,away_team,DET
2014,ANA,3,KCA,away_team,KCA
2014,WAS,4,SFN,away_team,SFN
2014,LAN,1,SLN,away_team,SLN
2014,WAS,2,SFN,away_team,SFN
2014,LAN,2,SLN,away_team,SLN
2015,HOU,5,KCA,away_team,KCA
2015,TEX,5,TOR,away_team,TOR
2015,HOU,4,KCA,away_team,KCA
2015,TEX,6,TOR,away_team,TOR
2015,NYN,3,LAN,away_team,LAN
2015,CHN,0,SLN,away_team,SLN
2015,NYN,2,LAN,away_team,LAN
2015,CHN,6,SLN,away_team,SLN
2015,KCA,2,HOU,away_team,HOU
2015,TOR,5,TEX,away_team,TEX
2015,KCA,9,HOU,away_team,HOU
2015,TOR,8,TEX,away_team,TEX
2015,LAN,7,NYN,away_team,NYN
2015,SLN,6,CHN,away_team,CHN
2015,LAN,3,NYN,away_team,NYN
2015,SLN,4,CHN,away_team,CHN
2015,HOU,2,KCA,away_team,KCA
2015,TEX,3,TOR,away_team,TOR
2015,NYN,3,LAN,away_team,LAN
2016,TOR,10,TEX,away_team,TEX
2016,BOS,4,CLE,away_team,CLE
2016,TOR,5,TEX,away_team,TEX
2016,BOS,0,CLE,away_team,CLE
2016,SFN,0,CHN,away_team,CHN
2016,LAN,4,WAS,away_team,WAS
2016,SFN,2,CHN,away_team,CHN
2016,TEX,6,TOR,away_team,TOR
2016,LAN,2,WAS,away_team,WAS
2016,CLE,4,BOS,away_team,BOS
2016,CHN,5,SFN,away_team,SFN
2016,WAS,8,LAN,away_team,LAN
2016,CHN,6,SFN,away_team,SFN
2016,WAS,5,LAN,away_team,LAN
2016,LAN,4,WAS,away_team,WAS
2017,BOS,2,HOU,away_team,HOU
2017,NYA,0,CLE,away_team,CLE
2017,ARI,5,LAN,away_team,LAN
2017,CHN,3,WAS,away_team,WAS
2017,BOS,2,HOU,away_team,HOU
2017,NYA,8,CLE,away_team,CLE
2017,ARI,5,LAN,away_team,LAN
2017,CHN,3,WAS,away_team,WAS
2017,HOU,3,BOS,away_team,BOS
2017,CLE,0,NYA,away_team,NYA
2017,LAN,3,ARI,away_team,ARI
2017,WAS,1,CHN,away_team,CHN
2017,HOU,5,BOS,away_team,BOS
2017,CLE,3,NYA,away_team,NYA
2017,WAS,5,CHN,away_team,CHN
2017,NYA,5,CLE,away_team,CLE
2017,CHN,9,WAS,away_team,WAS
1969,NYN,9,ATL,away_team,ATL
1969,MIN,3,BAL,away_team,BAL
1969,NYN,11,ATL,away_team,ATL
1969,MIN,0,BAL,away_team,BAL
1969,ATL,4,NYN,away_team,NYN
1969,BAL,11,MIN,away_team,MIN
1970,CIN,3,PIT,away_team,PIT
1970,BAL,10,MIN,away_team,MIN
1970,CIN,3,PIT,away_team,PIT
1970,BAL,11,MIN,away_team,MIN
1970,PIT,2,CIN,away_team,CIN
1970,MIN,1,BAL,away_team,BAL
1971,PIT,4,SFN,away_team,SFN
1971,PIT,9,SFN,away_team,SFN
1971,OAK,3,BAL,away_team,BAL
1971,OAK,1,BAL,away_team,BAL
1971,SFN,1,PIT,away_team,PIT
1971,BAL,5,OAK,away_team,OAK
1971,SFN,5,PIT,away_team,PIT
1972,CIN,1,PIT,away_team,PIT
1972,DET,2,OAK,away_team,OAK
1972,CIN,5,PIT,away_team,PIT
1972,DET,0,OAK,away_team,OAK
1972,PIT,3,CIN,away_team,CIN
1972,PIT,1,CIN,away_team,CIN
1972,OAK,0,DET,away_team,DET
1972,PIT,3,CIN,away_team,CIN
1972,OAK,3,DET,away_team,DET
1972,OAK,2,DET,away_team,DET
1973,NYN,1,CIN,away_team,CIN
1973,OAK,0,BAL,away_team,BAL
1973,NYN,5,CIN,away_team,CIN
1973,OAK,6,BAL,away_team,BAL
1973,CIN,2,NYN,away_team,NYN
1973,CIN,2,NYN,away_team,NYN
1973,BAL,1,OAK,away_team,OAK
1973,CIN,2,NYN,away_team,NYN
1973,BAL,5,OAK,away_team,OAK
1973,BAL,0,OAK,away_team,OAK
1974,LAN,3,PIT,away_team,PIT
1974,BAL,6,OAK,away_team,OAK
1974,LAN,5,PIT,away_team,PIT
1974,BAL,0,OAK,away_team,OAK
1974,PIT,7,LAN,away_team,LAN
1974,OAK,1,BAL,away_team,BAL
1974,PIT,1,LAN,away_team,LAN
1974,OAK,2,BAL,away_team,BAL
1975,PIT,3,CIN,away_team,CIN
1975,OAK,1,BOS,away_team,BOS
1975,PIT,1,CIN,away_team,CIN
1975,OAK,3,BOS,away_team,BOS
1975,CIN,5,PIT,away_team,PIT
1975,BOS,5,OAK,away_team,OAK
1976,CIN,6,PHI,away_team,PHI
1976,NYA,4,KCA,away_team,KCA
1976,CIN,6,PHI,away_team,PHI
1976,NYA,3,KCA,away_team,KCA
1976,PHI,6,CIN,away_team,CIN
1976,KCA,3,NYA,away_team,NYA
1976,KCA,7,NYA,away_team,NYA
1976,KCA,6,NYA,away_team,NYA
1977,PHI,7,LAN,away_team,LAN
1977,PHI,1,LAN,away_team,LAN
1977,KCA,7,NYA,away_team,NYA
1977,KCA,2,NYA,away_team,NYA
1977,LAN,6,PHI,away_team,PHI
1977,NYA,2,KCA,away_team,KCA
1977,LAN,4,PHI,away_team,PHI
1977,NYA,6,KCA,away_team,KCA
1977,NYA,5,KCA,away_team,KCA
1978,NYA,7,KCA,away_team,KCA
1978,LAN,9,PHI,away_team,PHI
